,datetime,year,month,day_of_week,buy_hour,place,total_items,total,angbutter,plain_bread,jam,americano,croissant,caffe_latte,tiramisu_croissant,cacao_deep,pain_au_chocolat,almond_croissant,croque_monsieur,mad_garlic,milk_tea,getau_chocolat,pandoro,cheese_cake
0,2019-07-11 15:35:00,2019,July,Thur,16:00:00,Other,5,23800.0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
1,2019-07-11 16:10:00,2019,July,Thur,16:00:00,Other,2,15800.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,2019-07-12 11:49:00,2019,July,Fri,12:00:00,Other,11,53980.000000000015,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
3,2019-07-13 13:19:00,2019,July,Sat,13:00:00,Other,2,14800.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2019-07-13 13:22:00,2019,July,Sat,13:00:00,Other,3,15600.0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,2019-07-13 14:54:00,2019,July,Sat,15:00:00,Other,2,15800.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,2019-07-13 15:08:00,2019,July,Sat,15:00:00,Other,1,15800.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2019-07-13 15:09:00,2019,July,Sat,15:00:00,Other,3,14000.0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
8,2019-07-13 15:23:00,2019,July,Sat,15:00:00,Other,4,19100.0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,2019-07-13 16:32:00,2019,July,Sat,17:00:00,Other,4,22300.0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
10,2019-07-14 11:08:00,2019,July,Sun,11:00:00,Other,2,15300.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11,2019-07-14 11:15:00,2019,July,Sun,11:00:00,Other,6,27600.0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
12,2019-07-14 11:44:00,2019,July,Sun,12:00:00,Other,5,26300.0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
13,2019-07-14 11:59:00,2019,July,Sun,12:00:00,Other,2,19800.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14,2019-07-14 12:59:00,2019,July,Sun,13:00:00,Other,2,18300.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15,2019-07-14 13:05:00,2019,July,Sun,13:00:00,Other,3,15600.0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
16,2019-07-14 14:06:00,2019,July,Sun,14:00:00,Other,4,23600.0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
17,2019-07-14 14:41:00,2019,July,Sun,15:00:00,Other,3,20100.0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18,2019-07-14 14:51:00,2019,July,Sun,15:00:00,Other,4,25600.0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
19,2019-07-14 15:02:00,2019,July,Sun,15:00:00,Other,2,19800.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20,2019-07-15 11:45:00,2019,July,Mon,12:00:00,Other,3,15100.0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
